Pais;Entidad estatal;Referencia;Descripción;Fase actual;Fecha de publicación;Fecha de presentación de ofertas;Cuantía Estado;Detalle
COLOMBIA;MUNICIPIO DE NEIVA;MNSECDPS-1217-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ABOGADO PARA CONFORMAR EL EQUIPO PAE Y APOYAR EN LOS ASPECTOS JURÍDICOS, CONTRACTUALES POSCONTRACTUALES Y OTROS DE LA SUPERVISIÓN DEL CONTRATO CELEBRADO POR;Presentación de oferta;12/09/2024 10:45 AM (UTC -5 horas);-;12.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SAN JERONIMO;D-197-2024;PRESTACION DE SERVICIOS PROFESIONALES DE APOYO A LA GESTIÓN PARA BRINDAR ACOMPAÑAMIENTO EN LA PARTE TÉCNICA Y ADMINISTRATIVA DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE EN EL MUNICIPIO DE SAN JERÓNIMO,;Presentación de oferta;12/09/2024 8:38 AM (UTC -5 horas);-;7.845.750 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUTO NACIONAL DE SALUD;INS-SASI-032-2024 (Presentación de oferta);Adquirir Sensores para la Herramienta de Monitoreo PRTG (Paessler Router Traffic Grapher) incluyendo licenciamiento, mantenimiento y soporte, así como el licenciamiento para la renovación y actualizac;Presentación de oferta;11/09/2024 9:24 PM (UTC -5 horas);23/09/2024 2:00 PM (UTC -5 horas);39.999.470 COP;Publicado;Detalle
COLOMBIA;ALCALDIA MUNICIPIO DE IBAGUE;AI-LP-09-2024 (Presentación de oferta);CONTRATAR LA PRESTACIÓN DEL SERVICIO Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE) CON DESTINO A LOS NIÑOS, NIÑAS, ADOLESCENTES Y JÓVENES FOCALIZADOS Y REGISTRADOS EN EL SISTEMA INTEGRADO DE;Presentación de oferta;11/09/2024 6:45 PM (UTC -5 horas);20/09/2024 8:00 AM (UTC -5 horas);5.587.323.112 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE LA CEJA;2024.05.11.01.061.552;OPERACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE PARA NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA DEL MUNICIPIO DE LA CEJA DEL TAMBO;Presentación de observaciones;11/09/2024 5:51 PM (UTC -5 horas);8/10/2024 10:00 AM (UTC -5 horas);837.199.113 COP;Publicado;Detalle
COLOMBIA;ALCALDIA MUNICIPAL DE GACHETA;CONV.INT-201-2024;CONVENIO PAE GACHETA;Presentación de oferta;11/09/2024 5:25 PM (UTC -5 horas);-;73.480.760 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SUBACHOQUE;AMS-CD-167-2024;CONVENIO DE TRANSFERENCIA BOLSA COMUN PAE;Presentación de oferta;11/09/2024 4:55 PM (UTC -5 horas);-;11.320.364 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SAN JOSE DE CUCUTA;SEM-CPS-209-2024;PRESTAR LOS SERVICIOS PARA APOYO A LA SUPERVISION PAE;Presentación de oferta;11/09/2024 2:11 PM (UTC -5 horas);-;9.810.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SAN JOSE DE CUCUTA;SEM-CPS-207-2024;PRESTAR LOS SERVICIOS PARA APOYO A LA SUPERVISION PAE;Presentación de oferta;11/09/2024 1:51 PM (UTC -5 horas);-;9.810.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SAN JOSE DE CUCUTA;SEM-CPS-208-2024;PRESTAR LOS SERVICIOS PARA APOYO A LA SUPERVISION PAE;Presentación de oferta;11/09/2024 1:29 PM (UTC -5 horas);-;9.810.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;Gobernación Norte de Santander*;CD-SG-2167-2024;HUGO ORLANDO MOLINA PAEZ;Presentación de oferta;11/09/2024 12:34 PM (UTC -5 horas);-;14.700.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE PUERTO TRIUNFO;069-CMC-2024;OPERACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE) DE ACUERDO CON LOS LINEAMIENTOS TÉCNICOS-ADMINISTRATIVOS VIGENTES, DISPUESTOS POR EL MEN, PARA EL SUMINISTRO DE COMPLEMENTO ALIMENTARIO A LOS ALUMN;Presentación de oferta;11/09/2024 12:13 PM (UTC -5 horas);13/09/2024 3:00 PM (UTC -5 horas);27.311.040 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;MUNICIPIO DE PAIPA;CD MP 339 2024;PRESTAR SERVICIOS PROFESIONALES EN EL SEGUIMIENTO AL DESARROLLO DEL PROGRAMA ALIMENTACIÓN ESCOLAR - PAE EN EL MUNICIPIO DE PAIPA;Presentación de oferta;11/09/2024 11:51 AM (UTC -5 horas);-;8.507.772 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE PEREIRA- OFICIAL;SME-CD-5664-2024;PRESTAR SERVICIOS DE APOYO A LA GESTION EN EL EQUIPO PAE REALIZANDO ACTIVIDADES LOGÍSTICAS, Y DE GESTIÓN DOCUMENTAL DEL PROGRAMA DE ALIMENTACION ESCOLAR;Presentación de oferta;11/09/2024 11:50 AM (UTC -5 horas);-;9.900.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE LA CEJA;2024.05.11.02.057.516 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);OPERACION DEL PROGRAMA DE ALIMENTACION ESCOLAR -PAE- PARA NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA DEL MUNICIPIO DE LA CEJA DEL TAMBO PARA EL AÑO 2024 (Manifestación de interés (Menor Cuantía)) (Pr;Presentación de oferta;11/09/2024 8:57 AM (UTC -5 horas);13/09/2024 8:00 AM (UTC -5 horas);359.671.923 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;MUNICIPIO DE EL SANTUARIO ANTIOQUIA;180-CPS-395-2024;PRESTACION DE SERVICIOS PROFESIONALES COMO NUTRICIONISTA PARA APOYAR LOS PROGRAMAS DE SEGURIDAD ALIMENTARIA -NUTRICIONAL Y SISMANA, BRINDANDO EDUCACION NUTRICIONAL A BENEFICIOS DEL PAE y ADULTOS MAYOR;Presentación de oferta;10/09/2024 4:10 PM (UTC -5 horas);-;13.196.666 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-2486-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA APOYAR EL CUMPLIMIENTO DEL EJE DE GESTIÓN TERRITORIAL DURANTE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO, ACORDE A;Presentación de oferta;10/09/2024 3:52 PM (UTC -5 horas);-;10.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL DEPARTAMENTO DEL CESAR;MC-SGR-0016-2024;BRINDAR ATENCIÓN HUMANITARIA INMEDIATA EN LOS COMPONENTES DE ALIMENTACIÓN, ALOJAMIENTO TRANSITORIO Y TRANSPORTE EN CUMPLIMIENTO DE LA ESTRATEGIA DE CORRESPONSABILIDAD SISPAE;Presentación de oferta;10/09/2024 3:12 PM (UTC -5 horas);16/09/2024 10:00 AM (UTC -5 horas);52.025.459 COP;Publicado;Detalle
COLOMBIA;ALCALDIA DE CAUCASIA;CPS-471-2024;PRESTACION DE SERVICIOS PARA REALIZAR TODAS LAS ACCIONES NUTRICIONALES Y NECESARIAS PARA LA COORDINACION DEL PROGRAMA DE ALIMENTACION ESCOLAR (PAE) DIRIGIDO POR LA SECRETARÍA DE EDUCACION, CULTURA, DE;Presentación de oferta;10/09/2024 2:45 PM (UTC -5 horas);-;14.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;PIJAOS SALUD EPSI;66-2024-028;CENTRO DE NEUROREHABILITACION APAES S.A.S;Presentación de oferta;10/09/2024 11:36 AM (UTC -5 horas);-;60.000.000 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;ESE CAMÚ IRIS LÓPEZ DURAN SAN ANTERO;CPS-178-2024;BEATRIZ ELENA RODRIGUEZ PAEZ;Presentación de oferta;9/09/2024 8:34 PM (UTC -5 horas);-;15.000.000 COP;Publicado;Detalle
COLOMBIA;UNAD;CON-2024-000327;DIANA YURANY ESTUPIÑAN PAEZ;Presentación de oferta;9/09/2024 1:23 PM (UTC -5 horas);-;24.000.000 COP;Publicado;Detalle
COLOMBIA;INSTITUTO AMAZÓNICO DE INVESTIGACIONES CIENTÍFICAS SINCHI;CONTRATO FV 327 DE 2024;NATALIA ANDREA MONTEALEGRE PAEZ;Presentación de oferta;9/09/2024 10:48 AM (UTC -5 horas);-;108.000.000 COP;Publicado;Detalle
COLOMBIA;ALCALDÍA MUNICIPAL DE MADRID CUNDINAMARCA;CPSP-805-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES COMO NUTRICIONISTA PARA REALIZAR EL MONITOREO, SEGUIMIENTO Y CONTROL DE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE.;Presentación de oferta;9/09/2024 10:36 AM (UTC -5 horas);-;14.250.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;DEPARTAMENTO DE ANTIOQUIA;16004;Prestar servicio integral de apoyo a la supervisión técnica, administrativa, financiera, contable y jurídica de los convenios interadministrativos suscritos por la Gerencia Mana para el PAE;Presentación de oferta;9/09/2024 9:16 AM (UTC -5 horas);9/09/2024 9:19 AM (UTC -5 horas);2.890.165.311 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;E.S.E SAN VICENTE FERRER SABOYA;136-2024;ELIANA ROCIO RODRIGUEZ PAEZ;Presentación de oferta;6/09/2024 6:37 PM (UTC -5 horas);-;10.500.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE URRAO;I PESAL 002-2024;UNIR ESFUERZOS TÉCNICOS, ECONÓMICOS Y HUMANOS PARA EJECUTAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE;Presentación de oferta;6/09/2024 4:12 PM (UTC -5 horas);10/09/2024 3:00 PM (UTC -5 horas);1.492.852.160 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ;CPS-419-2025;ANTONIO JOSE PAEZ OVIEDO;Presentación de oferta;6/09/2024 3:20 PM (UTC -5 horas);-;11.500.000 COP;Publicado;Detalle
COLOMBIA;HOSPITAL SAN CRISTOBAL DE CIENAGA EMPRESA SOCIAL DEL ESTADO;3874;GILBERTO PAEZ CORTINA;Presentación de oferta;6/09/2024 2:14 PM (UTC -5 horas);-;7.200.000 COP;Publicado;Detalle
COLOMBIA;UNIVERSIDAD NACIONAL DE COLOMBIA;OSE_1707_2024;PRESTAR SERVICIOS ASISTENCIALES PARA APOYAR LAS ACTIVIDADES DE SEGUIENTO EN CAMPO, APOYAR EN LA VALIDACIÓN, CORRECCIÓN Y ANÁLISIS DE LOS INDICADORES CARGADOS EN EL APLICATIVO PAEVISION, EN EL MARCO;Presentación de oferta;6/09/2024 11:33 AM (UTC -5 horas);-;5.000.000 COP;Publicado;Detalle
COLOMBIA;E.S.E HOSPITAL SAN AGUSTIN DE FONSECA LA GUAJIRA;OPS-634 DE 2024;ANA ROSA ROSADO PAEZ;Presentación de oferta;6/09/2024 10:58 AM (UTC -5 horas);-;24.407.215 COP;Publicado;Detalle
COLOMBIA;E.S.E SAN VICENTE FERRER SABOYA;124-2024;ANGIE CATERINE GARCIA PAEZ;Presentación de oferta;6/09/2024 8:53 AM (UTC -5 horas);-;7.500.000 COP;Publicado;Detalle
COLOMBIA;CIAC S.A.;4500013904;CURSOS PAE 2024 CECSA;Presentación de oferta;6/09/2024 8:41 AM (UTC -5 horas);-;2.860.000 COP;Publicado;Detalle
COLOMBIA;CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA - CAR.;CAR-CPS-2536-2024;CRISTIAN CAMILO RODRIGUEZ PAEZ;Presentación de oferta;6/09/2024 1:04 AM (UTC -5 horas);-;43.011.116 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUTO MUNICIPAL PARA EL TURISMO, LA CULTURA, LA RECREACIÓN Y EL DEPORTE DE VILLETA;CD_145_2024;DIEGO ANDRES RAMIREZ PAEZ;Presentación de oferta;5/09/2024 10:27 PM (UTC -5 horas);-;12.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1160-2024;PROFESIONAL PAE EJE TRANSPARENCIA;Presentación de oferta;5/09/2024 5:42 PM (UTC -5 horas);-;22.682.088 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE FOMEQUE;ACUERDO FORMAL No. 002 DE 2024;BOLSA COMUN PAE;Presentación de oferta;5/09/2024 3:44 PM (UTC -5 horas);-;44.184.268 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MINISTERIO DE MINAS Y ENERGIA;SIP-067-2024;Implementar estrategias de fortalecimiento de capacidades en GRD respaldada en la ejecución de soluciones piloto que aprovechen la generación de biogás a partir de materias orgánicas en Paez - Boyacá;Presentación de oferta;5/09/2024 3:44 PM (UTC -5 horas);12/09/2024 5:00 PM (UTC -5 horas);Sin documento;Proceso en evaluación y observaciones;Detalle
COLOMBIA;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;OCO-F40087;ADQUISICION DE MATERIAL DE PAPELERIA PARA EL DESARROLLO DE LAS ACTIVIDADES DEL EQUIPO PAE Y DEMÁS PERSONAL SUPERVISOR DEL PROGRAMA DEL CONVENIO CI-SEG-00006-2024, PARA EL APOYO A LA SUPERVISIÓN TÉCNI;Presentación de oferta;5/09/2024 1:52 PM (UTC -5 horas);-;41.816.191 COP;Publicado;Detalle
COLOMBIA;CONTRALORIA DE BOGOTA;CB-CD-581-2024;LINA JACQUELINE ARDILA PAEZ;Presentación de oferta;5/09/2024 12:30 PM (UTC -5 horas);-;24.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;EMPRESA DE RENOVACION Y DESARROLLO URBANO DE BOGOTA D.C;RENOBO-CD-410-2024;OSCAR FABIAN PAEZ RODRIGUEZ;Presentación de oferta;5/09/2024 12:04 PM (UTC -5 horas);-;35.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ESE HOSPITAL SAN JOSE DEL MUNICIPIO DE SAN ANDRES SANTANDER;C-134-2024;MARIA CAROLINA PAEZ CASTILLO;Presentación de oferta;5/09/2024 11:42 AM (UTC -5 horas);-;9.000.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE GUACAMAYAS;GMYAS-ESAL No. 002 DE 2024;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS PARA LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, COMO ESTRATEGIA PARA GARANTIZAR LOS DERECHOS FUNDAMENTALES A LA ED;Presentación de oferta;5/09/2024 11:34 AM (UTC -5 horas);10/09/2024 11:00 AM (UTC -5 horas);36.788.818,32 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;E.S.E SAN VICENTE FERRER SABOYA;097-2024;WENDY KATHERINE PAEZ CASTELLANOS;Presentación de oferta;5/09/2024 10:35 AM (UTC -5 horas);-;18.000.000 COP;Publicado;Detalle
COLOMBIA;EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ANA;087-2024;MARIA ANGELICA PAEZ PAEZ;Presentación de oferta;5/09/2024 9:43 AM (UTC -5 horas);-;2.300.000 COP;Publicado;Detalle
COLOMBIA;CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA - CAR.;CAR-CPS-2532-2024;DIANA PAOLA CASAS PAEZ;Presentación de oferta;5/09/2024 9:06 AM (UTC -5 horas);-;25.248.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCADIA MUNICIPAL DE COPACABANA;LP-04-2024;PAE 2024-2025;Presentación de observaciones;4/09/2024 9:35 PM (UTC -5 horas);4/10/2024 9:00 AM (UTC -5 horas);1.128.382.661 COP;Publicado;Detalle
COLOMBIA;ASOCIACIÓN DE MUNICIPIOS DEL URABÁ NORTE;CD-AD-25-2024;SUMINISTRO Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, PARA LOS NIÑOS NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE DABEIBA ANTIOQUIA PARA LA VIGENCIA 2024-2;Presentación de oferta;4/09/2024 6:24 PM (UTC -5 horas);-;444.976.504 COP;Publicado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-2357-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL CUMPLIMIENTO DEL EJE DE COBERTURA DURANTE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO, ACORDE A LOS LINEAMIENTOS;Presentación de oferta;4/09/2024 2:11 PM (UTC -5 horas);-;10.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;6618-2024;PAEZ MENDOZA YEISON FERNANDO;Presentación de oferta;4/09/2024 12:25 PM (UTC -5 horas);-;10.382.400 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DE SUCRE;CPS-678-2024;AMIN NASSER PAEZ;Presentación de oferta;4/09/2024 11:00 AM (UTC -5 horas);-;9.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;E.S.E. HOSPITAL EDUARDO ARREDONDO DAZA;374-2024;XIOMARA PAEZ GUZMAN;Presentación de oferta;4/09/2024 10:10 AM (UTC -5 horas);-;18.000.000 COP;Publicado;Detalle
COLOMBIA;ESE HOSPITAL SAN JOSE DE GUACHETA;273-2024;LAURA VALENTINA PAEZ CAÑON;Presentación de oferta;4/09/2024 10:09 AM (UTC -5 horas);-;15.600.000 COP;Publicado;Detalle
COLOMBIA;GOBERNACIÓN DE RISARALDA;SE-LP-13-2024;SUMINISTRO DE ALIMENTACION ESCOLAR FINAL VIGENCIA 2024 PAE RISARALDA;Presentación de observaciones;4/09/2024 8:53 AM (UTC -5 horas);3/10/2024 8:00 AM (UTC -5 horas);4.904.537.903 COP;Publicado;Detalle
COLOMBIA;Gobernación Norte de Santander*;CD-SAPSB-01955-2024 - ROSALBA PAEZ BAYONA;ROSALBA PAEZ BAYONA;Presentación de oferta;4/09/2024 8:46 AM (UTC -5 horas);-;13.766.667 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUTO DISTRITAL DE LA PARTICIPACIÓN Y ACCIÓN COMUNAL;CD-IDPAC-662-2024;YIMMY ALEXIS PICON PAEZ;Presentación de oferta;3/09/2024 8:07 PM (UTC -5 horas);-;33.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE CUBARA BOYACA;RE-007-2024;PAE;Presentación de oferta;3/09/2024 4:07 PM (UTC -5 horas);6/09/2024 6:00 PM (UTC -5 horas);484.431.335,3 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;REGIONAL DE ASEGURAMIENTO EN SALUD No. 4;PN RASES4 MIC 168/2024;PRESTACION SERVICIOS DE SALUD ESPECIALIZADOS EN REUMATOLOGIA, PROCEDIMIENTOS DIAGNOSTICOS Y TERAPAEUTICOS DERIVADOS DE LA ESPECIALIDAD, EN LA CIUDAD DE PASTO, PARA USUARIOS Y BENEFICIARIOS DEL SUBSIST;Presentación de oferta;3/09/2024 3:54 PM (UTC -5 horas);11/09/2024 5:00 PM (UTC -5 horas);50.000.000 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;EMPRESA SOCIAL DEL ESTADO HOSPITAL HABACUC CALDERON CARMEN DE CARUPA :;153-2024;DORYS MILENA PAEZ PINILLA;Presentación de oferta;3/09/2024 1:07 PM (UTC -5 horas);-;8.000.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO CANDELARIA;MDC-SE-CD-140-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA FORTALECER LA PERMANENCIA EDUCATIVA EN EL MARCO DE LA ESTRATEGIA DE ALIMENTACIÓN ESCOLAR - PAE;Presentación de oferta;3/09/2024 11:13 AM (UTC -5 horas);-;11.400.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;SENA REGIONAL SANTANDER Grupo Administrativo CIDT;CIDT-9540-0210-2024;TITULADA Y COMPLEMENTARIA AREA SALUD - ARGENEDITH PAEZ CARREÑO;Presentación de oferta;3/09/2024 10:04 AM (UTC -5 horas);-;14.885.150 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;HOSPITAL SAN CRISTOBAL DE CIENAGA EMPRESA SOCIAL DEL ESTADO;3697-2024;MARIA DENISE RAMOS PAEZ;Presentación de oferta;3/09/2024 7:20 AM (UTC -5 horas);-;5.000.000 COP;Publicado;Detalle
COLOMBIA;INSTITUCION EDUCATIVA BOLIVARIANO;026;JUANDORRAGA PAEZ;Presentación de oferta;2/09/2024 6:00 PM (UTC -5 horas);-;26.000.000 COP;Publicado;Detalle
COLOMBIA;UNIVERSIDAD NACIONAL DE COLOMBIA;Oca460012024;PRESTAR SERVICIO DE ALOJAMIENTO PARA ESTUDIANTES PAET;Presentación de oferta;2/09/2024 8:39 AM (UTC -5 horas);-;8.674.560 COP;Publicado;Detalle
COLOMBIA;IDARTES;2919-2024;YEISSON MARTINEZ PAEZ;Presentación de oferta;2/09/2024 8:31 AM (UTC -5 horas);-;11.900.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;EMPRESA SOCIAL DEL ESTADO TIERRADENTRO;0119-2024;CONTRATAR EL SUMINISTRO DE COMBUSTIBLE, EN LA CIUDAD DE POPAYAN CAUCA, PARA LOS VEHICULOS DE LAS UNIDADES DE ATENCION DE INZA Y PAEZ DE LA ESE TIERRADENTRO;Presentación de oferta;1/09/2024 8:02 PM (UTC -5 horas);-;9.410.000 COP;Publicado;Detalle
COLOMBIA;ALCALDIA DE FLORIDABLANCA;FLO-CONT-CD-1308-2024;PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN PARA EL FORTALECIMIENTO DEL PROGRAMA DE ALIMENTACION ESCOLAR (PAE) EN LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE FLORIDABLANCA;Presentación de oferta;30/08/2024 10:12 PM (UTC -5 horas);-;9.450.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;CAJA DE LA VIVIENDA POPULAR//;CVP-830-2024;CARLOS ANDRÉS CÓRDOBA PAEZ;Presentación de oferta;30/08/2024 8:51 PM (UTC -5 horas);-;40.000.000 COP;Proceso adjudicado y celebrado;Detalle
